"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.182702892E2	6.499080297E1	2.556188401E1	1.304164174E1	1.198999977E1	1.646000061E2	3.790092468E0	2.500000000E0
1.192706318E2	6.499069969E1	2.556195475E1	1.321341073E1	1.202000046E1	1.633999939E2	3.790092468E0	2.500000000E0
1.202705733E2	6.499059627E1	2.556203023E1	1.339439529E1	1.206000042E1	1.626000061E2	3.790092468E0	2.500000000E0
1.212698554E2	6.499049477E1	2.556211250E1	1.349591299E1	1.215999985E1	1.616000061E2	3.790092468E0	2.500000000E0
1.222698326E2	6.499039458E1	2.556219983E1	1.354518516E1	1.205000019E1	1.605000000E2	3.790092468E0	2.500000000E0
1.232701130E2	6.499029298E1	2.556227873E1	1.379214997E1	1.200000000E1	1.606999969E2	3.790092468E0	2.500000000E0
1.242699747E2	6.499018871E1	2.556235793E1	1.400133146E1	1.210999966E1	1.605000000E2	3.790092468E0	2.500000000E0
1.252705736E2	6.499008647E1	2.556244016E1	1.419189875E1	1.207999992E1	1.605000000E2	3.790092468E0	2.500000000E0
1.262707314E2	6.498998325E1	2.556252211E1	1.425374199E1	1.213000011E1	1.611000061E2	3.790092468E0	2.500000000E0
1.272704625E2	6.498987863E1	2.556260271E1	1.432809630E1	1.218000031E1	1.620000000E2	3.790092468E0	2.500000000E0
1.282707711E2	6.498977478E1	2.556267727E1	1.433122408E1	1.209000015E1	1.631000061E2	3.790092468E0	2.500000000E0
1.292705329E2	6.498967138E1	2.556274415E1	1.456531031E1	1.192000008E1	1.643000031E2	3.790092468E0	2.500000000E0
1.302700735E2	6.498956595E1	2.556281257E1	1.481489735E1	1.201000023E1	1.646999969E2	3.790092468E0	2.500000000E0
1.312699302E2	6.498946095E1	2.556287728E1	1.472567912E1	1.215999985E1	1.641999969E2	3.790092468E0	2.500000000E0
1.322704510E2	6.498935390E1	2.556294803E1	1.479655340E1	1.235000038E1	1.640000000E2	3.790092468E0	2.500000000E0
1.332701202E2	6.498924696E1	2.556301704E1	1.455456179E1	1.239999962E1	1.641999969E2	3.790092468E0	2.500000000E0
1.342705493E2	6.498914176E1	2.556308486E1	1.464362664E1	1.227000046E1	1.648000031E2	3.790092468E0	2.500000000E0
1.352702741E2	6.498903657E1	2.556314683E1	1.452627137E1	1.211999989E1	1.651999969E2	3.790092468E0	2.500000000E0
1.362705819E2	6.498893062E1	2.556320537E1	1.440006572E1	1.211999989E1	1.671000061E2	3.790092468E0	2.500000000E0
1.372702757E2	6.498882582E1	2.556327054E1	1.415099651E1	1.225000000E1	1.673999939E2	3.790092468E0	2.500000000E0
1.382706465E2	6.498872140E1	2.556333656E1	1.396625861E1	1.227000046E1	1.665000000E2	3.790092468E0	2.500000000E0
1.392703025E2	6.498861468E1	2.556340745E1	1.372866146E1	1.238000011E1	1.668999939E2	3.790092468E0	2.500000000E0
1.402700301E2	6.498851100E1	2.556348210E1	1.349424051E1	1.215999985E1	1.628999939E2	3.790092468E0	2.500000000E0
1.412699261E2	6.498840840E1	2.556356269E1	1.338604049E1	1.203999996E1	1.613000031E2	3.790092468E0	2.500000000E0
1.422700306E2	6.498830787E1	2.556364624E1	1.325696800E1	1.202999973E1	1.618999939E2	3.790092468E0	2.500000000E0
1.432699965E2	6.498820406E1	2.556373597E1	1.338668069E1	1.221000004E1	1.601000061E2	3.790092468E0	2.500000000E0
1.442704657E2	6.498810602E1	2.556382773E1	1.349497519E1	1.189000034E1	1.596999969E2	3.790092468E0	2.500000000E0
1.452701498E2	6.498800728E1	2.556391945E1	1.361962645E1	1.186999989E1	1.590000000E2	3.790092468E0	2.500000000E0
1.462706580E2	6.498790864E1	2.556401084E1	1.376020802E1	1.186999989E1	1.595000000E2	3.790092468E0	2.500000000E0
1.472702897E2	6.498781122E1	2.556409666E1	1.398831587E1	1.175000000E1	1.588000031E2	3.790092468E0	2.500000000E0
1.482699495E2	6.498771476E1	2.556418790E1	1.402629939E1	1.160000038E1	1.586999969E2	3.790092468E0	2.500000000E0
1.492698242E2	6.498761868E1	2.556427786E1	1.386976439E1	1.156999969E1	1.581999969E2	3.790092468E0	2.500000000E0
1.502701732E2	6.498752288E1	2.556437046E1	1.398251641E1	1.155000019E1	1.573000031E2	3.790092468E0	2.500000000E0
1.512701155E2	6.498742764E1	2.556446938E1	1.388872516E1	1.160000038E1	1.561000061E2	3.790092468E0	2.500000000E0
1.522705581E2	6.498733299E1	2.556457105E1	1.353352053E1	1.181000042E1	1.546999969E2	3.790092468E0	2.500000000E0
1.532701418E2	6.498723781E1	2.556467878E1	1.381039468E1	1.173999977E1	1.531000061E2	3.790092468E0	2.500000000E0
1.542703970E2	6.498714318E1	2.556478899E1	1.383220311E1	1.171000004E1	1.523000031E2	3.790092468E0	2.500000000E0
1.552700975E2	6.498705155E1	2.556491279E1	1.372144421E1	1.172000027E1	1.498000031E2	3.790092468E0	2.500000000E0
1.562700115E2	6.498696215E1	2.556504479E1	1.358004668E1	1.178999996E1	1.456999969E2	3.790092468E0	2.500000000E0
1.572698874E2	6.498687624E1	2.556519765E1	1.352196270E1	1.184000015E1	1.416000061E2	3.790092468E0	2.500000000E0
1.582702888E2	6.498679597E1	2.556536475E1	1.365754670E1	1.192000008E1	1.373000031E2	3.790092468E0	2.500000000E0
1.592700344E2	6.498671878E1	2.556553911E1	1.376694855E1	1.189999962E1	1.353000031E2	3.790092468E0	2.500000000E0
1.602705600E2	6.498664649E1	2.556570662E1	1.375849701E1	1.132999992E1	1.361999969E2	3.790092468E0	2.500000000E0
1.612700681E2	6.498657563E1	2.556585752E1	1.371361098E1	1.071000004E1	1.386000061E2	3.790092468E0	2.500000000E0
1.622699695E2	6.498650312E1	2.556598821E1	1.378664594E1	1.015999985E1	1.436999969E2	3.790092468E0	2.500000000E0
1.632706950E2	6.498642447E1	2.556608468E1	1.375079288E1	1.010999966E1	1.545000000E2	3.790092468E0	2.500000000E0
1.642701001E2	6.498633331E1	2.556615534E1	1.369295877E1	1.053999996E1	1.638000031E2	3.790092468E0	2.500000000E0
1.652699585E2	6.498623510E1	2.556620738E1	1.385564048E1	1.118000031E1	1.681000061E2	3.790092468E0	2.500000000E0
1.662703894E2	6.498612822E1	2.556623328E1	1.380493855E1	1.181999969E1	1.741999969E2	3.790092468E0	2.500000000E0
1.672699306E2	6.498601785E1	2.556623109E1	1.403780634E1	1.222000027E1	1.813999939E2	3.790092468E0	2.500000000E0
1.682705966E2	6.498590637E1	2.556619327E1	1.407054346E1	1.250000000E1	1.905000000E2	3.790092468E0	2.500000000E0
1.692701523E2	6.498579629E1	2.556611506E1	1.423359723E1	1.290999985E1	1.976000061E2	3.790092468E0	2.500000000E0
1.702705868E2	6.498568267E1	2.556601840E1	1.451255586E1	1.343000031E1	2.006999969E2	3.790092468E0	2.500000000E0
1.712700114E2	6.498556594E1	2.556591160E1	1.485614912E1	1.390999985E1	2.026999969E2	3.790092468E0	2.500000000E0
1.722705851E2	6.498544685E1	2.556579799E1	1.494021959E1	1.422000027E1	2.026999969E2	3.790092468E0	2.500000000E0
1.732702833E2	6.498532894E1	2.556568988E1	1.513732756E1	1.410000038E1	2.030000000E2	3.790092468E0	2.500000000E0
1.742698926E2	6.498521014E1	2.556557457E1	1.519790000E1	1.405000019E1	2.028999939E2	3.790092468E0	2.500000000E0
1.752707361E2	6.498509617E1	2.556546486E1	1.526592254E1	1.384000015E1	2.028999939E2	3.790092468E0	2.500000000E0
1.762704892E2	6.498498039E1	2.556535675E1	1.533510285E1	1.385000038E1	2.023999939E2	3.790092468E0	2.500000000E0
1.772702992E2	6.498486398E1	2.556524938E1	1.528929224E1	1.390999985E1	2.023000031E2	3.790092468E0	2.500000000E0
1.782707183E2	6.498474869E1	2.556514288E1	1.525031852E1	1.396000004E1	2.018000031E2	3.790092468E0	2.500000000E0
1.792705714E2	6.498463125E1	2.556503844E1	1.532578343E1	1.398999977E1	2.008000031E2	3.790092468E0	2.500000000E0
1.802698818E2	6.498451226E1	2.556492643E1	1.546704379E1	1.401000023E1	2.013999939E2	3.790092468E0	2.500000000E0
1.812700319E2	6.498439397E1	2.556481894E1	1.570321389E1	1.402000046E1	2.020000000E2	3.790092468E0	2.500000000E0
1.822702866E2	6.498427924E1	2.556470466E1	1.579095073E1	1.402999973E1	2.035000000E2	3.790092468E0	2.500000000E0
1.832701540E2	6.498416747E1	2.556458741E1	1.603164484E1	1.389000034E1	2.051999969E2	3.790092468E0	2.500000000E0
1.842706624E2	6.498405598E1	2.556446242E1	1.615771623E1	1.377999973E1	2.073999939E2	3.790092468E0	2.500000000E0
1.852704115E2	6.498394846E1	2.556432811E1	1.614188583E1	1.356999969E1	2.088000031E2	3.790092468E0	2.500000000E0
1.862707375E2	6.498384047E1	2.556420121E1	1.626149104E1	1.348999977E1	2.066000061E2	3.790092468E0	2.500000000E0
1.872704941E2	6.498373273E1	2.556408729E1	1.632872662E1	1.339999962E1	2.041999969E2	3.790092468E0	2.500000000E0
1.882701384E2	6.498362311E1	2.556398093E1	1.638662108E1	1.315999985E1	2.028000031E2	3.790092468E0	2.500000000E0
1.892700055E2	6.498351362E1	2.556387181E1	1.663287052E1	1.286999989E1	2.028999939E2	3.790092468E0	2.500000000E0
